Sample ID,Weight (mg),H2 Amp,%H, _2H vs. VSMOW
ND20J15,0.855,7424,5.16,-55.01
ND20J17,0.84,7480,5.28,-61.18
ND19J03,0.839,7581,5.34,-177.44
ND19J03,0.849,7286,5.08,-53.82
ND19J04,0.846,7489,5.38,-133.81
ND19J04,0.846,7547,5.39,-53.79
ND19J05,0.846,7582,5.37,-140.19
ND19J05,0.855,7512,5.23,-59.75
ND19J07,0.85,7623,5.46,-150.31
ND19J07,0.846,7573,5.36,-49.54
ND19J08,0.848,7610,5.42,-108.63
ND19J08,0.843,7748,5.5,-95.88
ND19J10,0.849,7660,5.46,-149.82
ND19J10,0.852,7479,5.39,-47.57
ND19J12,0.854,7660,5.36,-139.37
ND19J12,0.853,7470,5.29,-65.01
ND20J24,0.84,7481,5.37,-40.33
ND20J25,0.851,7581,5.43,-70.08
ND20J15,0.843,7714,5.58,-140.58
ND20J16,0.846,7452,5.33,-122.93
ND20J16,0.851,7379,5.31,-59.38
ND20J17,0.849,7669,5.44,-143.41
ND20J19,0.843,7598,5.46,-121.6
ND20J19,0.846,7417,5.29,-94.72
ND21J31,0.849,7519,5.37,-68.77
ND20J22,0.84,7483,5.39,-135.32
ND20J22,0.853,7706,5.49,-69.24
ND21J34,0.842,7446,5.37,-58.69
ND20J24,0.848,7684,5.51,-135.83
ND20J25,0.858,7519,5.47,-135.53
ND20J26,0.845,7561,5.51,-143.16
ND20J26,0.84,7376,5.37,-49.88
ND20J27,0.846,7636,5.53,-134.58
ND20J28,0.84,7437,5.44,-150.14
ND20J28,0.85,7564,5.49,-53.8
ND20J29,0.856,7649,5.47,-147.98
ND21J43-a,0.845,7522,5.42,-56.69
ND20J30,0.848,7361,5.34,-165.66
ND20J30,0.856,7408,5.32,-71.23
ND21J31,0.858,7322,5.37,-131.07
ND27J59,0.853,7605,5.47,-67.38
ND23F04,0.847,7536,5.46,-42.87
ND21J34,0.845,7447,5.44,-128.64
ND23F08,0.843,7459,5.37,-70.17
ND21J36,0.849,7513,5.44,-143.3
ND21J36,0.85,7597,5.47,-69.34
ND21J37,0.853,7481,5.44,-178.4
ND21J37,0.847,7318,5.33,-78.77
ND27J60,0.849,7497,5.4,-58.52
ND21J39,0.852,7567,5.47,-170.54
ND21J39,0.846,7430,5.41,-57.02
ND21J41,0.851,7624,5.53,-153.59
ND21J41,0.853,7465,5.41,-62.35
ND21J42,0.84,7325,5.37,-172.82
ND21J42,0.848,7282,5.36,-108.96
ND21J43-a,0.848,7449,5.39,-146.27
ND21J43-b,0.844,7362,5.51,-171.79
ND21J43-b,0.845,7446,5.42,-63.62
ND28J65,0.843,7353,5.37,-49.32
ND23F01,0.851,7484,5.41,-172.2
ND23F01,0.853,7465,5.38,-84.71
ND23F02,0.846,7394,5.43,-166.76
ND23F02,0.852,7421,5.4,-85.16
ND23F03,0.853,7315,5.37,-159.04
ND23F03,0.847,7228,5.32,-63.31
ND23F04,0.844,7377,5.43,-120.24
ND23F05,0.845,7308,5.37,-153.93
ND23F06,0.854,7505,5.44,-157.48
ND23F06,0.853,7318,5.32,-63.73
ND23F07,0.855,7493,5.43,-168.81
ND23F07,0.846,7188,5.29,-95.63
ND23F08,0.849,7300,5.36,-143.08
ND23F09,0.841,7542,5.27,-124.12
ND23F10,0.86,7549,5.17,-163.76
ND23F10,0.847,7446,5.17,-63.2
ND23F11,0.855,7677,5.29,-166.72
ND23F11,0.84,7546,5.25,-39.59
ND28J68,0.851,7495,5.15,-68.83
ND27J46,0.854,7645,5.25,-163.77
ND27J46,0.854,7571,5.21,-86.92
ND27J48,0.851,7670,5.3,-167.71
ND27J48,0.853,7528,5.14,-84.54
ND27J49,0.85,7534,5.17,-162.4
ND27J49,0.847,7419,5.18,-63.03
ND27J50,0.847,7545,5.23,-172.7
ND27J50,0.852,7536,5.19,-51.68
ND27J51,0.845,7754,5.39,-159.99
ND27J51,0.848,7665,5.28,-65.87
ND27J52,0.842,7513,5.28,-123.59
ND27J52,0.848,7763,5.35,-86.07
ND27J53,0.844,7732,5.4,-141.71
ND27J53,0.853,7745,5.35,-68.34
ND27J55,0.84,na,na,na
ND27J55,0.846,7664,5.33,-78.45
ND27J56,0.847,7680,5.34,-160.11
ND27J56,0.846,7513,5.27,-71.57
ND27J57,0.85,7628,5.38,-154.12
ND27J57,0.842,7519,5.26,-60.52
ND27J58,0.85,7608,5.28,-155.41
ND27J58,0.842,7593,5.31,-70.97
ND27J59,0.845,7537,5.28,-143.95
ND27J60,0.847,7673,5.39,-157.35
NE01J71,0.85,7893,5.48,-166.65
ND27J62,0.849,7648,5.38,-173.24
ND27J62,0.844,7580,5.32,-65.94
NE01J71,0.84,7525,5.3,-84.4
ND28J63,0.855,7802,5.39,-51.51
ND28J64,0.853,7620,5.29,-157.12
ND28J64,0.84,7392,5.2,-54.05
ND28J65,0.841,7636,5.38,-141.45
ND28J66,0.855,7826,5.4,-139.65
ND28J66,0.853,7755,5.4,-91.71
ND28J67,0.852,7760,5.4,-125.31
ND28J67,0.855,7661,5.32,-55.25
ND28J68,0.854,na,na,na
ND28J69,0.856,7697,5.36,-149.79
ND28J69,0.843,7450,5.24,-63.48
NE01J70,0.858,7820,5.42,-125.08
