index,sample,dH,pair,species,feather,Hp,isomap
1,ND19J03,-53.82,1,M,alt,-25.02,46209
2,ND19J03,-177.44,1,M,basic,-201.39,46210
3,ND19J04,-53.79,1,A,alt,-25.00,46214
4,ND19J04,-133.81,1,A,basic,-125.71,46215
5,ND19J05,-59.75,1,A,alt,-29.43,46234
6,ND19J05,-140.19,1,A,basic,-136.77,46235
7,ND19J07,-49.54,1,A,alt,-21.84,46236
8,ND19J07,-150.31,1,A,basic,-154.33,46237
9,ND19J08,-95.88,1,A,alt,-59.91,46238
10,ND19J08,-108.63,1,A,basic,-82.03,46239
11,ND19J10,-47.57,1,A,alt,-20.37,46240
12,ND19J10,-149.82,1,A,basic,-153.48,46241
13,ND19J12,-65.01,1,A,alt,-33.34,46242
14,ND19J12,-139.37,1,A,basic,-135.35,46243
15,ND20J15,-55.01,1,A,alt,-25.90,46244
16,ND20J15,-140.58,1,A,basic,-137.45,46245
17,ND20J16,-59.38,1,A,alt,-29.15,46246
18,ND20J16,-122.93,1,A,basic,-106.83,46247
19,ND20J17,-61.18,1,A,alt,-30.49,46248
20,ND20J17,-143.41,1,A,basic,-142.36,46249
21,ND20J19,-94.72,1,M,alt,-57.90,46218
22,ND20J19,-121.6,1,M,basic,-104.53,46219
23,ND20J22,-69.24,1,A,alt,-36.48,46250
24,ND20J22,-135.32,1,A,basic,-128.33,46251
25,ND20J24,-40.33,1,A,alt,-14.99,46252
26,ND20J24,-135.83,1,A,basic,-129.21,46253
27,ND20J25,-70.08,1,A,alt,-37.11,x
28,ND20J25,-135.53,1,A,basic,-128.69,x
29,ND20J26,-49.88,1,M,alt,-22.09,46221
30,ND20J26,-143.16,1,M,basic,-141.93,46220
31,ND20J27,-134.58,0,A,basic,-127.04,x
32,ND20J28,-53.8,1,M,alt,-25.00,46226
33,ND20J28,-150.14,1,M,basic,-154.03,46223
34,ND20J29,-147.98,0,M,basic,-150.29,x
35,ND20J30,-71.23,1,M,alt,-37.96,x
36,ND20J30,-165.66,1,M,basic,-180.95,x
37,ND21J31,-68.77,1,A,alt,-36.13,x
38,ND21J31,-131.07,1,A,basic,-120.95,x
39,ND21J34,-58.69,1,A,alt,-28.64,x
40,ND21J34,-128.64,1,A,basic,-116.74,x
41,ND21J36,-69.34,1,A,alt,-36.56,
42,ND21J36,-143.3,1,A,basic,-142.17,
43,ND21J37,-78.77,1,M,alt,-43.57,
44,ND21J37,-178.4,1,M,basic,-203.05,
45,ND21J39,-57.02,1,M,alt,-27.40,46228
46,ND21J39,-170.54,1,M,basic,-189.42,46227
47,ND21J41,-62.35,1,M,alt,-31.36,
48,ND21J41,-153.59,1,M,basic,-160.02,
49,ND21J42,-108.96,1,M,alt,-82.60,
50,ND21J42,-172.82,1,M,basic,-193.37,
51,ND23F01,-84.71,1,M,alt,-47.99,
52,ND23F01,-172.2,1,M,basic,-192.30,
53,ND23F02,-85.16,1,M,alt,-48.32,
54,ND23F02,-166.76,1,M,basic,-182.86,
55,ND23F03,-63.31,1,A,alt,-32.07,
56,ND23F03,-159.04,1,A,basic,-169.47,
57,ND23F04,-42.87,1,A,alt,-16.88,
58,ND23F04,-120.24,1,A,basic,-102.17,
59,ND23F06,-63.73,1,M,alt,-32.39,
60,ND23F06,-157.48,1,M,basic,-166.76,
61,ND23F07,-95.63,1,M,alt,-59.48,
62,ND23F07,-168.81,1,M,basic,-186.42,
63,ND23F08,-70.17,1,A,alt,-37.17,
64,ND23F08,-143.08,1,A,basic,-141.79,
65,ND23F09,-124.12,0,A,basic,-108.90,
66,ND23F10,-63.2,1,M,alt,-31.99,
67,ND23F10,-163.76,1,M,basic,-177.66,
68,ND23F11,-39.59,1,M,alt,-14.44,
69,ND23F11,-166.72,1,M,basic,-182.79,
70,ND27J46,-86.92,1,M,alt,-49.63,
71,ND27J46,-163.77,1,M,basic,-177.68,
72,ND27J48,-84.54,1,M,alt,-47.86,
73,ND27J48,-167.71,1,M,basic,-184.51,
74,ND27J49,-63.03,1,M,alt,-31.87,
75,ND27J49,-162.4,1,M,basic,-175.30,
76,ND27J50,-51.68,1,M,alt,-23.43,
77,ND27J50,-172.7,1,M,basic,-193.17,
78,ND27J51,-65.87,1,M,alt,-33.98,46230
79,ND27J51,-159.99,1,M,basic,-171.12,46229
80,ND27J52,-86.07,1,A,alt,-49.00,
81,ND27J52,-123.59,1,A,basic,-107.98,
82,ND27J53,-68.34,1,M,alt,-35.81,
83,ND27J53,-141.71,1,M,basic,-139.41,
84,ND27J55,-78.45,0,A,alt,-43.33,
85,ND27J56,-71.57,1,M,alt,-38.22,
86,ND27J56,-160.11,1,M,basic,-171.33,
87,ND27J57,-60.52,1,M,alt,-30.00,
88,ND27J57,-154.12,1,M,basic,-160.94,
89,ND27J58,-70.97,1,M,alt,-37.77,
90,ND27J58,-155.41,1,M,basic,-163.17,
91,ND27J59,-67.38,1,A,alt,-35.10,
92,ND27J59,-143.95,1,A,basic,-143.30,
93,ND27J60,-58.52,1,A,alt,-28.51,
94,ND27J60,-157.35,1,A,basic,-166.54,
95,ND27J62,-65.94,1,M,alt,-34.03,
96,ND27J62,-173.24,1,M,basic,-194.10,
97,ND28J63,-51.51,0,A,alt,-23.30,
98,ND28J64,-54.05,1,M,alt,-25.19,
99,ND28J64,-157.12,1,M,basic,-166.14,
100,ND28J65,-49.32,1,A,alt,-21.67,
101,ND28J65,-141.45,1,A,basic,-138.96,
102,ND28J66,-91.71,1,A,alt,-53.19,
